#{"t_start": 1618264023.322426, "env_id": null}
r,l,t
-0.761905,11,231.326369
-0.880952,6,231.704632
-0.809524,9,232.256184
-0.880952,6,232.638138
-0.904762,5,232.957276
-0.880952,6,233.328311
-0.833333,8,233.859891
-0.904762,5,234.17206
-0.833333,8,234.673714
-0.809524,9,235.223216
-0.785714,10,235.819878
-0.880952,6,236.179939
-0.857143,7,236.623031
-0.880952,6,237.03994
1.285714,13,237.873703
-0.857143,7,238.326494
-0.857143,7,238.790765
-0.809524,9,239.342363
-0.761905,11,240.008744
-0.809524,9,240.55628
-0.880952,6,240.974956
-0.904762,5,241.284286
-0.904762,5,241.615434
-0.857143,7,242.048255
-0.857143,7,242.458173
-0.809524,9,242.997703
-0.833333,8,243.470442
-0.857143,7,243.907272
1.071429,4,244.124723
-0.904762,5,244.443836
-0.928571,4,244.693201
-0.833333,8,245.1679
-0.880952,6,245.530929
-0.928571,4,245.780262
-0.857143,7,246.19338
-0.880952,6,246.540481
1.095238,5,246.791826
-0.833333,8,247.257837
-0.880952,6,247.603911
-0.928571,4,247.845299
-0.833333,8,248.322406
-0.761905,11,252.39336
1.071429,4,252.587873
-0.880952,6,252.936375
-0.904762,5,253.235571
-0.880952,6,253.588657
1.071429,4,253.80505
-0.857143,7,254.215267
-0.880952,6,254.560343
-0.880952,6,254.908439
-0.928571,4,255.147771
-0.833333,8,255.61256
-0.928571,4,255.85095
-0.904762,5,256.145133
-0.690476,14,256.951092
-9.785714,10,257.459732
-0.785714,10,258.042175
-0.928571,4,258.305471
1.166667,8,258.729337
-0.928571,4,258.979802
-0.928571,4,259.219164
1.071429,4,259.412655
-0.880952,6,259.763715
1.071429,4,259.963171
-0.857143,7,260.379036
-0.904762,5,260.669259
-0.880952,6,261.01334
1.071429,4,261.200866
-0.833333,8,261.660625
-0.880952,6,262.015912
-0.833333,8,262.492
1.071429,4,262.688474
-0.928571,4,262.921856
-0.880952,6,263.264935
-0.880952,6,263.652868
-0.761905,11,264.276229
-0.857143,7,264.682337
1.071429,4,264.875792
-0.880952,6,265.222864
-0.928571,4,265.461226
-0.928571,4,265.70959
-0.785714,10,266.27805
-0.761905,11,266.893396
-0.809524,9,267.408021
1.071429,4,267.61447
-0.904762,5,267.915663
-0.857143,7,268.326564
-0.809524,9,268.854323
-0.833333,8,269.30578
-0.904762,5,269.596003
-0.833333,8,270.061764
-0.833333,8,270.523523
-0.809524,9,271.030169
-0.928571,4,271.259529
-0.928571,4,271.495926
-0.880952,6,271.848248
-0.857143,7,272.263261
-0.928571,4,272.513621
-0.928571,4,272.763544
-0.857143,7,273.171678
-0.904762,5,273.455946
-0.928571,4,273.694307
-0.809524,9,274.229875
-0.857143,7,274.644771
-0.904762,5,274.940947
-0.880952,6,275.313951
-0.880952,6,275.671995
-0.928571,4,275.917163
-0.833333,8,276.40018
-0.904762,5,276.715856
-0.785714,10,277.311264
-0.928571,4,277.55919
-0.809524,9,278.089856
-0.928571,4,278.346667
-0.857143,7,278.765623
-0.833333,8,279.249302
-0.880952,6,279.609861
-0.904762,5,279.908332
-0.904762,5,280.211915
-0.857143,7,280.615057
1.071429,4,280.814524
-0.785714,10,281.40694
-0.833333,8,281.873696
-0.833333,8,282.338241
-0.857143,7,282.757095
-0.928571,4,283.012442
-0.809524,9,283.549695
-0.880952,6,283.925751
-0.809524,9,284.448859
-0.785714,10,285.051729
-0.761905,11,285.687843
-0.904762,5,285.99396
-0.928571,4,286.253871
-0.785714,10,286.835732
1.071429,4,287.042164
-0.857143,7,287.447994
1.071429,4,287.65225
1.071429,4,287.844769
-0.928571,4,288.08712
-0.928571,4,288.326479
-0.809524,9,288.845094
-0.880952,6,289.194156
-0.880952,6,289.533221
1.071429,4,289.730723
-0.857143,7,290.159545
-9.690476,14,290.900576
-0.904762,5,291.201995
-0.928571,4,291.438364
-0.880952,6,291.810614
-0.857143,7,292.230839
-0.833333,8,292.701553
-0.904762,5,292.998787
-0.928571,4,293.225152
1.071429,4,293.434596
-0.738095,12,294.110812
1.071429,4,294.313694
1.071429,4,294.51117
1.071429,4,294.702653
-0.642857,16,295.576291
-0.833333,8,296.040994
-0.904762,5,296.345894
1.071429,4,296.550346
-0.833333,8,297.010268
1.238095,11,297.62263
-0.928571,4,297.888918
-0.857143,7,298.298822
-0.880952,6,298.66088
-0.833333,8,299.117632
-0.880952,6,299.469698
-0.904762,5,299.778864
-0.928571,4,300.02025
-9.738095,12,300.672475
-0.880952,6,301.025563
-0.857143,7,301.433441
-0.904762,5,301.748597
-0.809524,9,302.282203
1.071429,4,302.48064
-0.904762,5,302.793802
-0.904762,5,303.092007
1.071429,4,303.278506
-0.857143,7,303.680069
