#{"t_start": 1618253494.2781935, "env_id": null}
r,l,t
-0.714286,13,122.533609
-9.642857,16,122.814883
-0.904762,5,122.918783
1.261905,12,123.134205
1.119048,6,123.246541
1.071429,4,123.340305
-0.904762,5,123.449996
-0.857143,7,123.597614
-9.761905,11,123.794076
1.095238,5,123.890817
1.190476,9,124.069468
1.309524,14,124.311195
1.095238,5,124.413923
1.214286,10,124.590421
-0.666667,15,124.8656
-9.738095,12,125.079551
-0.714286,13,125.319973
1.119048,6,125.449598
-0.619048,17,125.74947
1.166667,8,125.899019
1.238095,11,126.106194
1.166667,8,126.242834
-9.690476,14,126.496161
1.238095,11,126.690383
1.071429,4,126.77416
-0.928571,4,126.86409
-0.880952,6,126.985735
1.142857,7,127.121505
-9.761905,11,127.316695
-9.738095,12,127.526328
1.309524,14,127.771096
-9.595238,18,128.074157
-9.785714,10,128.242425
1.214286,10,128.418983
1.119048,6,128.539632
1.238095,11,128.734139
-9.666667,15,128.988422
1.142857,7,129.118075
-9.761905,11,129.306597
-9.666667,15,129.566434
-0.785714,10,129.75361
1.119048,6,129.874783
-0.761905,11,130.081262
-0.833333,8,130.226857
-0.809524,9,130.403399
1.190476,9,130.568926
-0.809524,9,130.737509
1.095238,5,130.83524
-9.738095,12,131.051636
1.119048,6,131.172054
1.142857,7,131.31172
-9.714286,13,131.540296
1.190476,9,131.702579
-0.904762,5,131.806281
1.166667,8,131.955875
1.285714,13,132.177318
1.214286,10,132.352963
-9.785714,10,132.523489
-9.809524,9,132.680061
1.119048,6,132.790764
1.214286,10,132.969721
1.214286,10,133.150233
-0.904762,5,133.252963
-9.761905,11,133.450431
1.166667,8,133.596047
1.238095,11,133.789512
1.095238,5,133.888262
-9.785714,10,134.078724
1.333333,15,134.345046
-0.833333,8,134.502309
1.095238,5,134.602344
1.142857,7,134.730769
1.214286,10,134.918267
1.095238,5,135.015939
-9.761905,11,135.215444
-0.904762,5,135.32312
-9.666667,15,135.586058
-9.714286,13,135.822197
-9.761905,11,136.012966
-9.761905,11,136.209439
-9.738095,12,136.419402
1.261905,12,136.627873
-9.714286,13,136.855433
-9.738095,12,137.060684
-0.904762,5,137.162437
-0.785714,10,137.354897
1.071429,4,137.446365
1.095238,5,137.546096
-0.785714,10,137.732599
1.190476,9,137.902132
1.119048,6,138.015828
1.071429,4,138.099603
1.119048,6,138.208313
1.238095,11,138.398557
1.142857,7,138.534026
1.166667,8,138.674649
-9.785714,10,138.850189
1.071429,4,138.934962
1.142857,7,139.075588
1.119048,6,139.191248
-0.785714,10,139.386102
1.119048,6,139.498959
-9.666667,15,139.755923
1.119048,6,139.87106
1.190476,9,140.038679
1.190476,9,140.200939
-9.619048,17,140.485039
1.166667,8,140.635663
-9.880952,6,140.741353
1.166667,8,140.897955
-0.809524,9,141.060528
-0.880952,6,141.186102
1.095238,5,141.285849
-0.833333,8,141.447413
1.142857,7,141.583052
-0.809524,9,141.746614
1.190476,9,141.914167
-9.785714,10,142.093006
1.142857,7,142.221661
1.238095,11,142.413149
-9.738095,12,142.614443
1.142857,7,142.750481
1.095238,5,142.852205
-0.857143,7,142.985848
-0.761905,11,143.193002
-9.833333,8,143.336618
-9.809524,9,143.504044
-9.761905,11,143.69655
-9.761905,11,143.891358
1.166667,8,144.047657
-9.809524,9,144.194525
-0.761905,11,144.398858
-0.809524,9,144.559428
1.119048,6,144.680294
-9.880952,6,144.786988
1.095238,5,144.884752
-9.785714,10,145.077893
-9.880952,6,145.191622
-0.880952,6,145.327178
-9.809524,9,145.49426
1.071429,4,145.578061
1.166667,8,145.724658
-9.785714,10,145.919156
-9.785714,10,146.095683
-9.833333,8,146.237842
1.119048,6,146.348574
-0.904762,5,146.447515
1.119048,6,146.564548
1.095238,5,146.661289
1.095238,5,146.76202
-0.833333,8,146.915649
1.142857,7,147.052287
1.119048,6,147.170972
-0.904762,5,147.275687
1.095238,5,147.376417
-9.809524,9,147.523997
-9.880952,6,147.637718
-9.785714,10,147.814247
-0.880952,6,147.936891
1.142857,7,148.075551
1.261905,12,148.289709
-9.904762,5,148.388307
-9.809524,9,148.536012
1.166667,8,148.685091
1.095238,5,148.78283
1.261905,12,148.990248
-0.904762,5,149.098957
1.166667,8,149.250582
-0.809524,9,149.426389
1.095238,5,149.525704
1.261905,12,149.73215
1.190476,9,149.90251
-9.833333,8,150.053091
1.119048,6,150.181962
-0.761905,11,150.382018
1.142857,7,150.508704
1.095238,5,150.60542
1.190476,9,150.769001
1.214286,10,150.949761
-0.833333,8,151.114791
1.190476,9,151.282342
1.190476,9,151.441857
1.119048,6,151.568492
