#{"t_start": 1618268456.6685603, "env_id": null}
r,l,t
1.071429,4,305.293748
1.095238,5,305.547069
-0.904762,5,305.836299
-0.857143,7,306.244205
-0.809524,9,306.752502
-0.880952,6,307.104561
1.071429,4,307.300037
1.190476,9,307.7628
1.071429,4,307.954288
-0.809524,9,308.475925
1.071429,4,308.672368
-0.928571,4,308.921702
-0.857143,7,309.352554
1.190476,9,309.828283
1.166667,8,310.25713
-0.880952,6,310.615172
1.071429,4,310.823616
1.071429,4,311.040038
-0.904762,5,311.350239
-0.857143,7,311.755153
-0.857143,7,312.153061
-0.880952,6,312.518084
1.190476,9,313.000793
-0.880952,6,313.363822
-0.761905,11,313.99713
-0.904762,5,314.305332
1.095238,5,314.579571
1.071429,4,314.777043
-0.857143,7,315.211881
-0.857143,7,315.621785
1.190476,9,316.07959
-0.857143,7,316.487469
-0.738095,12,317.181643
-0.928571,4,317.419976
-0.904762,5,317.7102
-0.880952,6,318.051322
-0.809524,9,318.586855
-0.809524,9,319.105502
-0.809524,9,319.612114
-0.904762,5,319.898381
-0.833333,8,320.379064
-0.809524,9,320.911441
-0.857143,7,321.316392
-0.857143,7,321.762172
1.142857,7,322.146168
1.071429,4,322.353591
1.071429,4,322.556071
-0.880952,6,322.905125
1.190476,9,323.37984
-0.904762,5,323.700981
1.071429,4,323.889477
-0.904762,5,324.178704
1.071429,4,324.381896
-0.880952,6,324.724634
-0.904762,5,325.03281
-0.857143,7,325.444709
-0.857143,7,325.861593
1.071429,4,326.062058
1.071429,4,326.272495
-0.642857,16,327.165135
-0.857143,7,327.571023
-0.857143,7,327.965
1.071429,4,328.161443
-0.809524,9,328.693022
-0.833333,8,329.18371
1.071429,4,329.383177
1.071429,4,329.581646
-0.857143,7,329.976589
-0.761905,11,330.607931
-0.809524,9,331.146461
-0.904762,5,331.443666
-0.809524,9,331.952307
-0.928571,4,332.199645
1.071429,4,332.397117
-0.880952,6,332.761143
1.071429,4,332.956621
-0.880952,6,333.30868
-0.833333,8,333.766455
-0.857143,7,334.159405
-0.904762,5,334.449628
1.071429,4,334.653084
-0.809524,9,335.191644
1.071429,4,335.39111
-0.857143,7,335.839912
-0.809524,9,336.334588
1.071429,4,336.52536
1.071429,4,336.719819
-0.904762,5,337.024038
1.071429,4,337.224686
-0.880952,6,337.575747
-0.857143,7,337.972715
-0.904762,5,338.271887
1.142857,7,338.655859
-0.809524,9,339.167491
-0.880952,6,339.524564
-0.904762,5,339.822766
-0.880952,6,340.180808
-0.904762,5,340.493242
1.190476,9,340.994902
-0.714286,13,341.739908
-0.857143,7,342.148831
-0.880952,6,342.513839
1.071429,4,342.716318
-0.857143,7,343.142188
-0.880952,6,343.503194
1.071429,4,343.706648
-0.880952,6,344.065716
1.071429,4,344.264159
-0.833333,8,344.738888
-0.880952,6,345.108899
1.071429,4,345.302382
-0.833333,8,345.773122
1.071429,4,345.958627
1.071429,4,346.162111
-0.833333,8,346.654765
1.071429,4,346.859244
-0.785714,10,347.439667
-0.857143,7,347.837602
-0.809524,9,348.372172
-0.809524,9,348.883804
1.142857,7,349.247864
1.071429,4,349.455277
-0.833333,8,349.912055
-0.904762,5,350.207266
1.214286,10,350.738851
-0.761905,11,351.374145
1.071429,4,351.576603
-0.880952,6,351.922709
-0.857143,7,352.330589
1.071429,4,352.540027
1.071429,4,352.754484
-0.928571,4,352.998801
1.095238,5,353.258106
-0.904762,5,353.568277
-0.785714,10,354.163687
-0.880952,6,354.537896
-0.857143,7,354.963755
-0.880952,6,355.324789
-0.904762,5,355.618975
1.071429,4,355.839412
-0.833333,8,356.316112
1.071429,4,356.546495
-0.857143,7,356.963408
-0.904762,5,357.273582
-0.880952,6,357.625638
1.071429,4,357.81713
-0.928571,4,358.061661
-0.880952,6,358.410729
-0.785714,10,358.992173
1.190476,9,359.501812
-0.904762,5,359.796023
1.166667,8,360.209917
-0.880952,6,360.570951
-0.785714,10,361.153395
1.071429,4,361.401735
1.071429,4,361.634109
1.071429,4,361.833575
-0.904762,5,362.159703
1.214286,10,362.681308
-0.761905,11,363.32359
1.238095,11,363.90703
-0.880952,6,364.258091
-0.904762,5,364.560283
-0.880952,6,364.913339
-0.928571,4,365.179627
-0.809524,9,365.699238
1.166667,8,366.097193
-0.714286,13,366.818246
-0.785714,10,367.390031
-0.833333,8,367.849947
-0.928571,4,368.095292
-0.857143,7,368.503202
1.071429,4,368.694715
1.214286,10,369.261157
1.071429,4,369.468604
-0.857143,7,369.855568
1.071429,4,370.042068
-0.880952,6,370.383299
-0.833333,8,370.848707
1.071429,4,371.046179
-0.904762,5,371.346376
1.071429,4,371.558808
1.071429,4,371.755283
1.071429,4,371.948801
-0.857143,7,372.356702
-0.833333,8,372.82941
1.071429,4,373.049869
1.071429,4,373.259467
-0.857143,7,373.677349
-0.857143,7,374.076281
-0.857143,7,374.504137
1.071429,4,374.699643
-0.761905,11,375.370819
1.071429,4,375.575273
-0.809524,9,376.114831
1.071429,4,376.315322
-0.833333,8,376.80016
1.071429,4,377.001612
1.071429,4,377.202076
-0.833333,8,377.655581
1.071429,4,377.845075
1.214286,10,378.379673
1.071429,4,378.575122
-0.880952,6,378.953114
-0.880952,6,379.321128
1.214286,10,379.872296
-0.904762,5,380.193455
1.071429,4,380.405868
-0.880952,6,380.771581
-0.857143,7,381.188466
1.071429,4,381.394914
-0.857143,7,381.808807
-0.833333,8,382.259633
-0.904762,5,382.5718
1.071429,4,382.768256
-0.928571,4,383.031538
1.071429,4,383.230007
-0.833333,8,383.701746
-0.785714,10,384.277206
-0.809524,9,384.793825
-0.904762,5,385.10701
-0.928571,4,385.346375
1.214286,10,385.874949
-0.904762,5,386.192087
-0.785714,10,386.794503
1.071429,4,386.998956
-0.857143,7,387.41138
1.071429,4,387.608851
-0.904762,5,387.914036
-0.761905,11,388.542362
1.071429,4,388.745804
1.071429,4,388.948241
-0.904762,5,389.248466
1.071429,4,389.454914
1.071429,4,389.652359
-0.785714,10,390.225892
-0.857143,7,390.638754
-0.928571,4,390.882369
-0.833333,8,391.370093
-0.857143,7,391.79094
-0.928571,4,392.042269
-0.857143,7,392.451196
1.071429,4,392.645683
-0.904762,5,392.942086
-0.880952,6,393.326059
1.071429,4,393.517786
-0.904762,5,393.818014
-0.833333,8,394.274793
1.071429,4,394.474473
-0.857143,7,394.891609
-0.928571,4,395.13892
-0.857143,7,395.547376
-0.928571,4,395.802667
1.071429,4,395.99914
-0.904762,5,396.296379
-0.880952,6,396.67633
-0.880952,6,397.165023
1.190476,9,397.710563
-0.904762,5,398.129443
1.071429,4,398.395731
-0.904762,5,398.694931
-0.880952,6,399.051976
-0.880952,6,399.407027
1.071429,4,399.624449
1.071429,4,399.819922
1.071429,4,400.011411
1.214286,10,400.53202
-0.809524,9,401.055619
-0.809524,9,401.567263
1.071429,4,401.765719
-0.857143,7,402.192578
1.071429,4,402.391047
1.071429,4,402.589517
-0.738095,12,406.721253
-9.833333,8,407.130131
-0.880952,6,407.511134
-0.833333,8,407.978552
-0.857143,7,408.37814
-0.904762,5,408.674378
1.142857,7,409.045618
-0.857143,7,409.469452
-0.904762,5,409.777628
1.166667,8,410.205705
-0.809524,9,410.732296
-0.857143,7,411.156163
-0.833333,8,411.618955
-0.880952,6,411.965001
1.071429,4,412.162472
-0.857143,7,412.563149
-0.833333,8,413.029043
-0.833333,8,413.484821
-0.880952,6,413.841901
1.071429,4,414.041641
