#{"t_start": 1618262887.9254274, "env_id": null}
r,l,t
1.166667,8,222.236722
-0.857143,7,222.705929
-0.857143,7,223.210472
1.071429,4,223.430909
-0.785714,10,224.041283
-0.833333,8,224.531868
-0.857143,7,224.952282
-0.785714,10,225.549197
-0.761905,11,226.2114
1.071429,4,226.427795
-0.880952,6,226.843683
-0.857143,7,227.290994
1.166667,8,227.744353
-0.833333,8,228.228092
-0.904762,5,228.546269
-0.833333,8,229.036705
-0.809524,9,229.724648
-0.928571,4,229.991949
-0.833333,8,230.574469
-0.880952,6,230.957011
-0.880952,6,231.328982
-0.833333,8,231.824688
-0.928571,4,232.091455
-0.761905,11,232.780989
-0.880952,6,233.149005
-0.928571,4,233.416321
-0.880952,6,233.817973
-0.880952,6,234.218454
-0.880952,6,234.5805
-0.785714,10,235.218915
-0.928571,4,235.479979
-0.928571,4,235.756168
-0.904762,5,236.084322
-0.761905,11,236.776829
-0.880952,6,237.203064
-0.857143,7,237.661838
-0.928571,4,237.937691
-0.928571,4,238.222445
-0.880952,6,238.606
-0.857143,7,239.124113
1.071429,4,239.374444
-0.928571,4,239.663179
-0.809524,9,240.2561
-0.880952,6,240.666999
-0.880952,6,241.080893
-0.833333,8,241.591722
-0.904762,5,241.900562
1.071429,4,242.112993
1.214286,10,242.680991
-0.785714,10,243.349381
-0.904762,5,243.719418
-0.928571,4,243.982705
-0.857143,7,244.418115
-0.857143,7,244.863925
-0.928571,4,245.114949
-0.857143,7,245.554642
-0.880952,6,245.933628
-0.833333,8,246.43327
-0.880952,6,246.861351
1.071429,4,247.067798
-0.833333,8,247.56245
-0.833333,8,248.060701
-0.880952,6,248.434601
1.190476,9,248.939251
-0.928571,4,249.200552
-0.904762,5,249.515374
-0.928571,4,249.77964
-0.833333,8,250.268887
-0.928571,4,250.544183
-0.928571,4,250.800466
1.071429,4,251.017945
-0.928571,4,251.300968
-0.928571,4,251.614132
-0.928571,4,251.944247
-0.928571,4,252.218084
1.071429,4,252.431116
-0.880952,6,252.814155
-0.928571,4,253.069476
-0.928571,4,253.330749
-0.857143,7,253.779058
-0.857143,7,254.21421
-0.928571,4,254.475029
-0.880952,6,254.903849
-0.904762,5,255.213022
-0.880952,6,255.601318
-0.928571,4,255.860595
-0.904762,5,256.176848
-0.880952,6,256.554829
-0.880952,6,256.944787
-0.880952,6,257.343317
-0.857143,7,257.794521
-0.904762,5,258.108965
-0.833333,8,258.602158
-0.904762,5,258.922305
-0.904762,5,259.249966
-0.880952,6,259.641224
1.261905,12,260.331404
-0.928571,4,260.590735
-0.928571,4,260.907379
-0.833333,8,261.409612
-0.809524,9,261.998018
-0.880952,6,262.412382
-0.904762,5,262.7486
-0.880952,6,263.137588
-0.880952,6,263.538515
-0.880952,6,263.960948
-0.809524,9,264.597784
-0.857143,7,265.247069
-0.833333,8,265.826032
1.095238,5,266.161986
-0.880952,6,266.564935
-0.904762,5,266.886048
-0.857143,7,267.335948
-0.928571,4,267.590874
-0.904762,5,267.927881
-0.880952,6,268.310857
-0.880952,6,268.688355
-0.809524,9,269.278347
-0.904762,5,269.597538
-0.880952,6,269.977495
-0.857143,7,270.512581
-0.904762,5,270.849757
-0.904762,5,271.184851
-0.880952,6,271.578798
-0.880952,6,271.952869
-0.904762,5,272.281914
-0.857143,7,272.719309
-0.904762,5,273.035435
-0.880952,6,273.45892
-0.857143,7,273.904751
-0.880952,6,274.275786
-0.904762,5,274.590916
-0.714286,13,275.375297
-0.809524,9,275.922317
-0.904762,5,276.243457
-0.833333,8,276.723803
-0.833333,8,277.213219
-0.809524,9,277.76876
-0.857143,7,278.200616
-0.928571,4,278.458868
-0.904762,5,278.772374
-0.880952,6,279.140584
-0.928571,4,279.414822
-0.833333,8,279.916416
-0.880952,6,280.299394
-0.880952,6,280.678875
-0.857143,7,281.114635
-0.880952,6,281.499577
-0.880952,6,281.87359
-0.880952,6,282.24762
-0.809524,9,282.79305
-0.857143,7,283.226882
-0.904762,5,283.542041
-0.833333,8,284.036455
-0.857143,7,284.493233
-0.880952,6,284.876236
-0.833333,8,285.360513
-0.833333,8,285.849124
-0.880952,6,286.225106
-0.880952,6,286.598092
-0.928571,4,286.854409
-0.928571,4,287.114705
-0.880952,6,287.484207
-0.833333,8,287.976892
-0.809524,9,288.532671
-0.809524,9,289.077725
1.214286,10,289.645212
-0.833333,8,290.141795
-0.904762,5,290.470931
-0.880952,6,290.854908
-0.809524,9,291.40694
-0.928571,4,291.671988
-0.857143,7,292.1237
-0.928571,4,292.383012
-0.857143,7,292.823828
-0.833333,8,293.300545
-0.928571,4,293.562843
-0.880952,6,293.965766
-0.904762,5,294.306362
-0.809524,9,294.851325
-0.880952,6,295.221337
-0.809524,9,295.790395
-0.928571,4,296.060737
-0.880952,6,296.440474
-0.928571,4,296.69039
-0.857143,7,297.125259
-0.833333,8,297.598987
-0.880952,6,297.985934
-0.880952,6,298.356942
-0.880952,6,298.733959
1.071429,4,298.949358
-0.833333,8,299.428575
-0.928571,4,299.687885
-0.904762,5,300.004038
-0.904762,5,300.314236
-0.809524,9,300.85979
-0.928571,4,301.183151
-0.880952,6,301.575136
-0.833333,8,302.092247
-0.857143,7,302.558715
-0.880952,6,302.928719
-0.857143,7,303.359079
-0.880952,6,303.733106
-0.857143,7,304.166063
-0.928571,4,304.419391
-0.928571,4,304.711608
-0.857143,7,305.145447
-0.857143,7,305.57194
-0.857143,7,306.014809
-0.880952,6,306.406346
-0.880952,6,306.778376
-0.880952,6,307.150395
-0.928571,4,307.414291
-0.857143,7,307.849114
-0.833333,8,308.358784
-0.928571,4,308.629028
-0.880952,6,308.997702
-0.928571,4,309.302606
-0.857143,7,309.79202
-0.880952,6,310.198932
-0.880952,6,310.582652
-0.857143,7,311.011567
-0.904762,5,311.336671
-0.857143,7,311.77051
-0.809524,9,312.312596
1.190476,9,312.82318
-0.880952,6,313.185213
-0.833333,8,313.684885
1.095238,5,313.948183
-0.857143,7,314.369057
-0.904762,5,314.680238
-0.833333,8,315.179699
-0.904762,5,315.492111
-0.833333,8,315.982825
-0.880952,6,316.34739
-0.928571,4,316.599777
-0.928571,4,316.911936
-0.833333,8,317.415237
-0.880952,6,317.79824
-0.857143,7,318.24353
-0.880952,6,318.6375
-0.809524,9,319.189024
-0.880952,6,319.577102
-0.714286,13,320.345531
-0.809524,9,320.888053
-0.857143,7,321.322059
-0.880952,6,321.712999
-0.857143,7,322.144434
-0.904762,5,322.462584
-0.928571,4,322.726883
-0.761905,11,323.386753
-0.833333,8,323.886417
-0.928571,4,324.152706
-0.857143,7,324.571212
-0.880952,6,324.945794
-0.880952,6,325.310303
-0.857143,7,325.77107
-0.809524,9,326.330016
-0.785714,10,326.943189
-0.809524,9,327.525601
-0.928571,4,327.779514
-0.809524,9,328.345561
-0.904762,5,328.649011
-0.904762,5,328.975111
-0.928571,4,329.242396
-0.833333,8,329.738713
-0.880952,6,330.113575
-0.833333,8,330.598299
-0.833333,8,331.080558
-0.880952,6,331.466115
-0.857143,7,331.905968
-0.857143,7,332.325842
-0.928571,4,332.587666
-0.928571,4,332.842645
-0.857143,7,333.279466
-0.761905,11,333.970401
1.071429,4,334.208777
-0.928571,4,334.472059
-0.904762,5,334.780983
-0.928571,4,335.037818
-0.928571,4,335.292268
-0.880952,6,335.666274
-0.880952,6,336.045227
-0.833333,8,336.530523
-0.928571,4,336.792763
-0.857143,7,337.230717
-0.857143,7,337.673535
1.071429,4,337.879014
-0.880952,6,338.261104
1.214286,10,338.811671
-0.833333,8,339.309338
-0.761905,11,339.949424
1.190476,9,340.465108
-0.833333,8,340.962749
-0.928571,4,341.22316
-0.928571,4,341.478693
-0.928571,4,341.74196
-0.880952,6,342.109092
-0.880952,6,342.493054
-0.833333,8,342.986414
-0.880952,6,343.362941
-0.857143,7,343.857178
-0.857143,7,344.302959
1.214286,10,344.862724
-0.809524,9,345.402585
-0.833333,8,345.908758
-0.880952,6,346.295734
-0.880952,6,346.673074
-0.904762,5,346.991653
-0.833333,8,347.472166
-0.809524,9,348.03267
-0.857143,7,348.460319
-0.880952,6,348.830804
-0.880952,6,349.2068
-0.904762,5,349.510986
-0.904762,5,349.83618
-0.904762,5,350.152302
-0.880952,6,350.523238
-0.880952,6,350.893279
-0.928571,4,351.147601
-0.809524,9,351.701701
-0.738095,12,352.507116
-0.880952,6,352.944931
-0.880952,6,353.312569
-0.928571,4,353.581186
-0.833333,8,354.078357
-0.880952,6,354.452357
-0.785714,10,355.062271
-0.785714,10,355.708815
-0.833333,8,356.250901
-0.928571,4,356.515193
-0.857143,7,356.962776
-0.928571,4,357.220091
-0.833333,8,357.708573
-0.880952,6,358.141925
1.166667,8,358.603715
-0.880952,6,358.984751
-0.904762,5,359.318827
-0.785714,10,359.924207
-0.809524,9,360.46407
-0.857143,7,360.862794
-0.928571,4,361.118501
-0.809524,9,361.641643
-0.857143,7,362.070499
-0.857143,7,362.49907
-0.928571,4,362.743385
-0.857143,7,363.186204
-0.857143,7,363.59614
-9.738095,12,364.242041
-0.928571,4,364.487978
-0.857143,7,364.897886
-0.833333,8,365.360648
-0.928571,4,365.604507
-0.857143,7,366.02275
-0.857143,7,366.434306
1.190476,9,366.910013
-0.880952,6,367.274029
-0.833333,8,367.7458
-0.833333,8,368.214514
-0.880952,6,368.601543
-0.857143,7,369.044457
-0.809524,9,369.586009
-0.833333,8,370.074703
-0.928571,4,370.32603
1.190476,9,370.799763
-0.833333,8,371.269511
-0.880952,6,371.633536
-0.809524,9,372.157732
-0.928571,4,372.400052
1.166667,8,372.822922
-0.904762,5,373.140102
-0.809524,9,373.704563
-0.809524,9,374.239906
-0.833333,8,374.760854
-0.880952,6,375.161783
-0.833333,8,375.703501
-0.928571,4,375.956064
1.238095,11,376.564437
-0.809524,9,377.091027
-0.809524,9,377.702421
-0.880952,6,378.071406
-0.833333,8,378.55611
-0.857143,7,378.97103
-0.928571,4,379.212384
-0.857143,7,379.623285
-0.785714,10,380.214707
-0.880952,6,380.662512
-0.904762,5,380.983619
-0.833333,8,381.472323
-0.809524,9,382.011868
-0.928571,4,382.275195
-0.857143,7,382.687063
-0.857143,7,383.146866
1.214286,10,383.692376
-0.833333,8,384.187083
1.166667,8,384.611944
-0.880952,6,385.002871
-0.833333,8,385.477628
-0.880952,6,385.854627
-0.880952,6,386.217653
-0.785714,10,386.787099
-0.904762,5,387.110266
-0.833333,8,387.64584
-0.738095,12,388.395797
-0.785714,10,389.005201
-0.880952,6,389.369195
-0.857143,7,389.869856
-0.761905,11,390.534112
-0.880952,6,390.930043
1.071429,4,391.139494
-0.857143,7,391.561874
1.238095,11,392.175235
-0.857143,7,392.600715
-0.785714,10,393.208152
-0.857143,7,393.627002
-0.928571,4,393.891867
-0.785714,10,394.512285
-0.809524,9,395.059795
-0.809524,9,395.608167
1.071429,4,395.835922
1.095238,5,396.106705
1.166667,8,396.538547
-0.904762,5,396.851274
-0.928571,4,397.107952
